,funding_agency_name,Country
2841,Thailand Research Funds,Thailand
2843,"Medical Research Council (UK), Newton Fund",United Kingdom
2845,Collaborating Center for Labor Research at Chulalongkorn University,Thailand
2846,Chulalongkorn Univerity laboratory,Thailand
2847,Foundation of Introduced Talent of Sichuan University of Science and Engineering,China
2848,Opening Project of Material Corrosion and Protection Key Laboratory of Sichuan Province,China
2849,Opening Project of Sichuan Province,China
2850,"Wuliangye Group Co., Ltd.",China
2852,"Research Faculty of Agriculture, Hokkaido University",Japan
2853,Chulaongkorn Academic Advancement,Thailand
2854,Malaysian Ministry of Education and Universiti Incentive,Malaysia
2855,Malaysian Ministry of Education and Universiti Teknologi Malaysia,Malaysia
2856,USM-RUI,Philippines
2857,Royal Forest Department,Thailand
2858,Collaborating Centre for Labor Research at Chulalongkorn University,Thailand
2859,University of Putra in Malaysia,Malaysia
2861,"Burapha University , Thailand",Thailand
2862,"Burapha University, Thailand",Thailand
2864,"Faculty of Medicine, Srinakharinwirot University",Thailand
2865,HRH Princess Maha Chakri Sirindhorn Medical Center,Thailand
2867,University of P?cs,Hungary
2868,Communauté d’Agglomération Pays Basque,France
2869,National Research Council of Thailand and Chiang Mai University,Thailand
2870,Center for Biostatistics in AIDS Research,United States
2871,HeartFlow Inc.,United States
2872,MGH Executive Committee on Research,United States
2873,Siemens Healthcare,Germany
2874,William F. Connell Family,United States
2875,Sakaerat Environmental Research Station,Thailand
2876,Faculty of Medicine Ramathibodi Hospital,Thailand
2877,Veterans Affairs Office of Research and Development,United States
2879,Department of Mineral Resources of Bangkok,Thailand
2880,University of Poitiers,France
2883,"Faculty of Science, Srinakharinwirot University, Thailand",Thailand
2885,Beijing Municipal High Level Innovative Team Building Program,China
2886,National Natural Science Found for Innovative Research Groups,China
2887,Science and Technology Foundation of Beijing University of Technology,China
2888,Thai Oil Public Company Limited,Thailand
2890,State Key Laboratory of Power Grid Safety and Energy Conservation,China
2892,National Institutes of Health?s National Institute of Allergy and Infectious Diseases,United States
2893,Changsha Science and Technology Plan,China
2894,Hunan Provincial Science and Technology Plan Project,China
2895,state Key Laboratory Fund,China
2896,Ratchadapisek Somphot Endowment Fund of Chulalongkorn University,Thailand
2898,JSPS Grants‐in‐Aid for Scientific Research,Japan
2899,K-CONNEX,South Korea
2900,McDonnell Genome Institute,United States
2901,TSRI,United States
2902,Washington University,United States
2903,"Allergan, Santen","United States, Japan"
2904,Massachusetts Eye and Ear Global Surgery Program,United States
2905,Massachusetts Eye and Ear Infirmary,United States
2906,Thai Research Funding,Thailand
2908,"Faculty of Medicine and Gradu‑ ate School, Chulalongkorn University",Thailand
2909,Research Unit in Translational Hematology Chulalongkorn University,Thailand
2911,JST-ALCA,Japan
2912,Ratchadaphisek-somphot Endowment Fund and Research Assistantship Fund,Thailand
2913,Australian National Health and Medical Research Council,Australia
2914,MORU,Thailand
2916,American Foundation for AIDS Research,United States
2918,Health Office of Jambi Province,Indonesia
2919,Health Office of Nusa Tenggara Timur province,Indonesia
2921,NRF-NSFC,China
2922,Mahidol University Museum of Natural History,Thailand
2925,Charoen Pokphand Group,Thailand
2927,China-ASEAN Maritime Cooperation Fund,China
2928,NSFC-Shandong Joint Funded Project,China
2929,Phuket Marine Biological Center,Thailand
2930,Public Science and Technology Research Funds Projects of Ocean,China
2931,Thailand-China Joint Laboratory for Climate and Marine Ecosystem,Thailand
2935,JST-Satreps,Japan
2936,Xinjiang government,China
2937,Xinjiang-Tianye Co. Ltd.,China
2940,"Industry-University-Research Collaboration Program of Fujian Science and Technology Department, China",China
2941,"Ministry of Agriculture and Rural Affairs, China",China
2942,Modern Agricultural and Industrial Park for Anxi County in Fujian Province,China
2943,"Natural Science Foundation of Anxi Government, China",China
2944,CIIRC,Czech Republic
2945,Jyothy Institute of technology,India
2947,Queen Sirikit Scholarship,Thailand
2950,"Department of Medicine, University of Illinois",United States
2951,UIC Research Informatics Core,United States
2952,Institut Polytechnique UniLaSalle,France
2953,National Centre for Social Research,United Kingdom
2954,Grant-in Aid for Scientific Research on Innovative Areas,Japan
2955,Emerging Infectious Disease Health Science Center,United States
2957,IUCN,Switzerland
2958,"Victor and William Fung Foundation, Betty and Gordon Moore Foundation",The United States
2961,Thailand Synchrotron Light Research Institute,Thailand
2962,Khon Kean University,Thailand
2963,Faculty of Sciences at the Kasetsart University,Thailand
2964,"National Science and Technology Development Agency, Thailand",Thailand
2965,Cambodia Fisheries Administration,Cambodia
2967,Thailand Center of Excellence,Thailand
2968,Siriraj Medical Research Center,Thailand
2969,"Department of Materials Engineering, Faculty of Engineering, Kasetsart University and Graduate School",Thailand
2970,Ratchadaphiseksompot Fund,Thailand
2971,Ang Thong Chief Medical Officers,Thailand
2974,Chulalongkorn Business School,Thailand
2975,Thammasat University Joint Research Program,Thailand
2976,Center for Pharmaceutical Development,United States
2977,National Sci-ence Foundation,United States
2979,Thailand Science Research and Innova-tion,Thailand
2981,Nylands nation vid Helsingfors universitet,Finland
2982,Vilho Yrjö and Kalle Väisälä Fund,Finland
2984,Department of Marine and Coastal Resources and Eastern Marine and Coastal Resources Research and Development Center,Thailand
2985,"Department of Microbiology, Faculty of Science , Chulalongkorn University",Thailand
2986,International Center for Water Hazard and Risk Management-Public Works Research Institute,Japan
2987,Science and Technology Research Partnership for Sustain- able Development,Japan
2990,"Office of Research Affairs, Chulalongkorn University",Thailand
2992,Bureau of Epidemiology,United States
2993,Office of Veterinary Public Health of Bangkok Metropolitan,Thailand
2997,"Oculis ehf, Reykjavik, Iceland",Iceland
2999,Israeli Taxonomy Initiative,Israel
3000,Thailand Research Fund/National Research Council of Thailand,Thailand
3001,NSFC-GD Union Foundation,China
3006,GERICS,Germany
3007,Environmental Restoration and Conservation Agency of Japan ‘Policy Design and Evaluation to Ensure Sustainable Consumption and Production Patterns in Asian Region,Japan
3010,Putra IPB,Indonesia
3012,Chulalongkorn Vaccine Research Center,Thailand
3014,"Monash University, Australia",Australia
3016,TRF-NSFC,China
3017,Associazione italiana contro le leucemie-linfomi e mieloma Milano e Provincia ONLUS,Italy
3018,National Cancer Institute Cancer Center Support,United States
3022,Doctor Kasem Pangsrivongse Foundation,Thailand
3023,Department of Cultural Promotion,Thailand
3024,Ministry of Culture of Thailand,Thailand
3025,ExxonMobil Chemical,United States
3026,Huntsman Corporation,United States
3028,KEMENRISTEKDIKTI Indonesia,Indonesia
3029,Office of the Higher Education Commission of Thailand,Thailand
3031,"Chulalongkorn University , Thailand Research Fund",Thailand
3032,"Chulalongkorn University, Thailand Research Fund",Thailand
3033,Chulalongkorn Univeristy,Thailand
3036,"Faculty of Science, Energy & Environment and King Mongkut’s University of Technology North Bangkok",Thailand
3040,National Science Technology and Innovation Policy Office for Integrated Research and Innovation Plan,Thailand
3042,Eisai Co. Ltd,Japan
3046,Ministry of Health and Welfare of Taiwan,Taiwan
3047,"Ministry of Science and Technology, Executive Yuan",Taiwan
3048,Office of Research and Development Medical Research Service Department of Veterans Affairs,United States
3049,Swiss Pharmaceutical,Switzerland
3050,Texas Medical Center Digestive Diseases Center,United States
3055,Phramongkutklao Hospital and Phramongkutklao College of Medicine Foundation,Thailand
3056,RUG,The Netherlands
3058,Ngurah Rai University,Indonesia
3059,Universitas Amikom Purwokerto,Indonesia
3060,"Laboratory of Biotechnology, Chulabhorn Research Institute",Thailand
3062,"Department of Microbiology, Faculty of Science, Kasetsart University",Thailand
3066,NIHGRI,United States
3067,Forest Ecology Laboratory of Gifu University,Japan
3068,"Chulabhorn Research Institute, Bangkok, Thailand",Thailand
3069,Wulian-gye Group Co. Ltd.,China
3074,"KKU Research Affairs and Graduate School, Khon Kaen University, Thailand",Thailand
3075,National Institute of Infectious Diseases,Japan
3076,NSFC-ISF,China
3077,Fresenius Medical Care,Germany
3078,Australasian Society for Bipolar and Depressive Disorders,Australia
3079,Cross-ministerial Strategic Innovation Promotion Program,Japan
3080,JST-Mirai,Japan
3081,"Center of Excellence on Catalysis and Catalytic Reaction Engineering, Faculty of Engineering, Chulalongkorn University",Thailand
3082,Thailand Science Research,Thailand
3084,Thai government Pharmaceutical Organization,Thailand
3085,"national cancer institute, national institutes of health",The United States
3086,Shaanxi Innovation Capability Support Plan,China
3087,Shaanxi Natural Science Basic Research Project,China
3088,"Graduate School, Kasetsart University",Thailand
3089,Kasetsart University Research and Development Institute,Thailand
3090,"Faculty of Medicine, ChulalongkornUniversity",Thailand
3091,"Faculty of Dentistry, Chiang Mai University",Thailand
3092,Henan Province,China
3094,Soft Science Research Planning Project of Henan Province,China
3095,Innovation Service,South Korea
3097,Chulalongkorn University Office of Academic Affairs,Thailand
3098,Chulalongkorn University School of Agricultural Resources Research Unit,Thailand
3099,Foundation of Thai Agricultural Development,Thailand
3100,"Immunology Research Center, Faculty of Dentistry, Chulalongkorn University",Thailand
3101,Leading Innovative and Entrepreneur Team Introduction Program of Zhejiang,China
3102,Fire Safety Research Center,United States
3107,"Regional Natural Science Foundation, China",China
3108,GenBank,United States
3109,DAAD society,Germany
3110,Amnatcharoen Hospital,Thailand
3111,Bangkok Metropolitan Administration General Hospital,Thailand
3112,Chaophraya Abhaibhubejhr Hospital,Thailand
3113,Chaoprayayomraj Hospital,Thailand
3114,King Chulalongkorn Memorial Hospital Sunpasitthiprasong Hospital,Thailand
3115,Nakornping Hospital,Thailand
3117,Pranangklao Hospital,Thailand
3118,Sawanpracharak Hospital,Thailand
3119,Songkhla Hospital,Thailand
3120,Sukhothai Hospital,Thailand
3121,Trang Hospital,Thailand
3122,Trat Hospital,Thailand
3123,Udon Thani Hospital,Thailand
3124,Beijing Xisike Clinical Oncology Research Foundation,China
3125,Science and Technology Plan of Changsha Science and Technology Bureau,China
3126,Scientific Research Program of Hunan Provincial Health Commission,China
3127,Xiangya Hospital Clinical Research Project,China
3129,Royal College of Physicians of Thailand,Thailand
3130,Department of Defense Small Business Innovation Research,United States
3133,German Society for Transfusion Medicine,Germany
3134,Digestive Endoscopy Society of Taiwan,Taiwan
3135,Thai Association for Gastrointestinal Endoscopy,Thailand
3136,"Department of Obstetrics and Gynecology, Faculty of Medicine, Chulalongkorn University",Thailand
3138,CICECO-Aveiro Institute of Materials,Portugal
3140,Royal Patronage of Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
3141,"Silpakorn for Petroleum, Petrochemicals and Adancved Materials",Thailand
3143,NSFC-NRCT,China
3144,Shandong Provincial Key Science and Technology Program,China
3145,"Center of Excellence on Biodiversity, Thailand",Thailand
3146,Museum für Naturkunde,Germany
3147,H2020 ERC,European Union
3148,Sir Joseph Hotung Charitable Trust,United Kingdom
3149,King's College Hospital Charitable Trust,United Kingdom
3151,Turner Syndrome Society,United States
3152,Bamrasnaradura Infectious Diseases Institute,Thailand
3154,Ayutthaya Municipality,Thailand
3155,"Office of International Affairs, Chulalongkorn University",Thailand
3156,National Bioinformatics Infrastructure Sweden at SciLifeLab,Sweden
3157,Steinbeis GmbH für Technologietransfer,Germany
3158,Rachadaphiseksompot Endowment Fund,Thailand
3159,NIHR-RP-R2-12-015,United Kingdom
3160,Radcliffe Women's Health,United Kingdom
3162,Icelandic center of Research,Iceland
3164,Institute of Materials Science of Madrid of Spanish National Research Council,Spain
3165,ChulaPD,Thailand
3167,"Department of Science and Technology-Philippine Council for Industry, Energy, and Emerging Technology Research and Development",Philippines
3169,state assignment of Russia,Russia
3170,"Faculty of Medicine, Chulalongkorn University to Uthaibhorn Singkham-in",Thailand
3173,Rajamangala University of Technology Rattanakosin,Thailand
3174,Rajamangala University of Technology Rattanakosin Wang Klai Kang Won Campus,Thailand
3176,National Natural Science Foundation of China-Israel Science Foundation,China
3177,Chulalongkorn University Ratchadapisek Sompot Fund,Thailand
3178,Chulalongkorn Academic Advancement into Its 2nd Century,Thailand
3181,Norte2020?Programa Operacional Regional do Norte,Portugal
3182,Portuguese Foundation for Science and Technology,Portugal
3183,Programa Operacional Regional do Norte,Portugal
3184,"National Nanotechnology Center, Thailand",Thailand
3185,SUT‐NANOTEC‐SLRI XAS,Thailand
3186,Heart Foundation Australia,Australia
