,funding_agency_name,Country
1806,Seneca Foundation-Regional Agency for Science and Technology,Italy
1807,"Spanish Ministry of Economy, Industry, and Competitiveness",Spain
1808,"Department of Chemistry, Faculty of Science, Srinakharinwirot University",Thailand
1809,AIL Milano e Provincia ONLUS,Italy
1810,"Center of Excellence on Petrochemical and Materials Technology, Thailand",Thailand
1811,"RE Power Service Co., Ltd.",Thailand
1812,"Center of Excellence on Petrochemical and Materials Technology, Bangkok",Thailand
1813,"SCG Chemicals, Co. Ltd.",Thailand
1814,Siam Photon Laboratory,Thailand
1815,Thailand International Cooperation Agency,Thailand
1816,"Faculty of Pharmaceutical Sciences, University of Iceland",Iceland
1817,Guangdong Province Universities and Colleges Pearl River Scholar,China
1818,Schwartz Foundation,United States
1819,Sydney University,Australia
1820,"King Mongkut’s Institute of Technology Ladkrabang, Thailand",Thailand
1821,Udonthani Rajabhat University,Thailand
1822,Space Medical Experiment Project of China Manned Space Program,China
1823,"Institute of Tropical Medicine, Nagasaki University",Japan
1824,Japanese Society of Promotion Sciences,Japan
1825,Chulalongkorn University Dusadi Phipat scholarship and Ratchadaphiseksomphot Endowment Fund,Thailand
1826,Ratchadaphisek somphot Endowment Fund,Thailand
1827,Anniversary Chulalongkorn University Fund for Doctoral Scholarship,Thailand
1828,Research Network Nanotec,Germany
1829,Research Foundation – Flanders,Belgium
1830,Key Program of Science and Technology of Zhejiang Province,China
1831,"Ministry of Agriculture, Livestock and Irrigation",Myanmar
1832,Ministry of Science and Technology of China,China
1833,NRF-2014M3A6A7060583,South Korea
1834,Natural Gas and Biofuels Agency,Brazil
1835,WEFO,United Kingdom
1836,Chulabhorn International College of Medicine,Thailand
1837,NSTDA-University-Industry,Thailand
1838,NSTDA-University-Industry Research Collaboration,Thailand
1839,GlaxoSmithKline Biologicals,Belgium
1840,Brazilian National Institute of Science and Technology on Neuroimmunomodulation,Brazil
1841,FOCEM,Argentina
1842,Research Excellence Program—Aggeu Magalhães Institute,Brazil
1843,National Comprehensive Cancer Center,Japan
1844,"Department of Mathematics and Computer Science, Faculty of Science, Chulalongkorn University",Thailand
1845,"Dental Association of Thailand and Medical genomics cluster, Chulalongkorn University",Thailand
1846,"International School of Engineering, Chulalongkorn University",Thailand
1847,"Walking and Moving Center, Faculty of Medicine,ChulalongkornUniversity",Thailand
1848,"Special Research Fund for the Faculty of Dentistry, Chulalongkorn University",Thailand
1849,European Union Marie-Curie,Belgium
1850,Gates Cambridge Scholarship,United Kingdom
1851,European Union's research and innovation programme Horizon 2020,Belgium
1852,European Union’s research and innovation programme Horizon 2020,Belgium
1853,Lilly Diabetes Alliance,United States
1854,Stichting Klavertje2,Netherlands
1855,Stichting Ushersyndroom,Netherlands
1856,Stichting Wetenschappelijk Onderzoek Doof-Blindheid,Netherlands
1857,Environmental Analysis Center of GIST,South Korea
1858,Thailand Research Fundviathe International Research Network,Thailand
1859,Thailand Research Fundviathe Research,Thailand
1860,Rachadapisek Sompod Endowment Foundation,Thailand
1861,"Faculty of Science , Chulalongkorn University",Thailand
1862,"Division of Gastroenterology, Faculty of Medicine, Chulalongkorn UniversityWe",Thailand
1863,LSU-SVM,United States
1864,International Research Network-the Thailand Research Fund,Thailand
1865,International Research Network‐the Thailand Research Fund,Thailand
1866,AM-Pharma,Netherlands
1867,Baxter SpA,Italy
1868,BioMerieux,France
1869,CytoSorbents,United States
1870,Cytosorbents,United States
1871,Medibeacon Inc.,United States
1872,Chulabhorn Hospital,Thailand
1873,"Department of Microbiology, Faculty of Science, Chulalongkorn University",Thailand
1874,ICAR-Extramural,India
1875,NationalNanotechnology Center,Thailand
1876,Chulalongkorn Univesity,Thailand
1877,NRPU-HEC 6470,Pakistan
1878,Thailand Excellence Center for Tissue Engineering and Stem Cells,Thailand
1879,"Department of Chemical and Process Engineering, University of Canterbury",New Zealand
1880,Akebia Therapeutics,United States
1881,BioPorto,Denmark
1882,LaJolla Pharma,United States
1883,National University Hospital Singapore,Singapore
1884,NxStage,United States
1885,Otsuka,Japan
1886,Quark Pharmaceuticals,United States
1887,RenalSense,Canada
1888,Vifor Fresenius Medical Care Renal Pharma,Switzerland
1889,"Ministry of Higher Education, Science, research and innovation",Thailand
1890,NIGPAS,China
1891,CSIRO Mineral Resources,Australia
1892,CNRS-TRF,France
1893,Natural History Museum Basel,Switzerland
1894,Zoologische Staatssammlung München,Germany
1895,Foundation NIH,United States
1896,"eResearch T echnologies, Inc",United States
1897,China's 1000 Young Talents Program,China
1898,China’s 1000 Young Talents Program,China
1899,Shanghai International Cooperation and Exchange Project,China
1900,Ratchadapiseksompote Fund,Thailand
1901,Thailand Research Funds,Thailand
1902,"Medical Research Council (UK), Newton Fund",United Kingdom
1903,Collaborating Center for Labor Research at Chulalongkorn University,Thailand
1904,Chulalongkorn Univerity laboratory,Thailand
1905,Foundation of Introduced Talent of Sichuan University of Science and Engineering,China
1906,Opening Project of Material Corrosion and Protection Key Laboratory of Sichuan Province,China
1907,Opening Project of Sichuan Province,China
1908,"Wuliangye Group Co., Ltd.",China
1909,"Research Faculty of Agriculture, Hokkaido University",Japan
1910,Chulaongkorn Academic Advancement,Thailand
1911,Malaysian Ministry of Education and Universiti Incentive,Malaysia
1912,Malaysian Ministry of Education and Universiti Teknologi Malaysia,Malaysia
1913,USM-RUI,Philippines
1914,Royal Forest Department,Thailand
1915,Collaborating Centre for Labor Research at Chulalongkorn University,Thailand
1916,University of Putra in Malaysia,Malaysia
1917,"Burapha University , Thailand",Thailand
1918,"Burapha University, Thailand",Thailand
1919,"Faculty of Medicine, Srinakharinwirot University",Thailand
1920,HRH Princess Maha Chakri Sirindhorn Medical Center,Thailand
1921,University of P?cs,Hungary
1922,Communauté d’Agglomération Pays Basque,France
1923,National Research Council of Thailand and Chiang Mai University,Thailand
1924,Center for Biostatistics in AIDS Research,United States
1925,HeartFlow Inc.,United States
1926,MGH Executive Committee on Research,United States
1927,Siemens Healthcare,Germany
1928,William F. Connell Family,United States
1929,Sakaerat Environmental Research Station,Thailand
1930,Faculty of Medicine Ramathibodi Hospital,Thailand
1931,Veterans Affairs Office of Research and Development,United States
1932,Department of Mineral Resources of Bangkok,Thailand
1933,University of Poitiers,France
1934,"Faculty of Science, Srinakharinwirot University, Thailand",Thailand
1935,Beijing Municipal High Level Innovative Team Building Program,China
1936,National Natural Science Found for Innovative Research Groups,China
1937,Science and Technology Foundation of Beijing University of Technology,China
1938,Thai Oil Public Company Limited,Thailand
1939,State Key Laboratory of Power Grid Safety and Energy Conservation,China
1940,National Institutes of Health?s National Institute of Allergy and Infectious Diseases,United States
1941,Changsha Science and Technology Plan,China
1942,Hunan Provincial Science and Technology Plan Project,China
1943,state Key Laboratory Fund,China
1944,Ratchadapisek Somphot Endowment Fund of Chulalongkorn University,Thailand
1945,JSPS Grants‐in‐Aid for Scientific Research,Japan
1946,K-CONNEX,South Korea
1947,McDonnell Genome Institute,United States
1948,TSRI,United States
1949,Washington University,United States
1950,"Allergan, Santen",United States
1951,Massachusetts Eye and Ear Global Surgery Program,United States
1952,Massachusetts Eye and Ear Infirmary,United States
1953,Thai Research Funding,Thailand
1954,"Faculty of Medicine and Gradu‑ ate School, Chulalongkorn University",Thailand
1955,Research Unit in Translational Hematology Chulalongkorn University,Thailand
1956,JST-ALCA,Japan
1957,Ratchadaphisek-somphot Endowment Fund and Research Assistantship Fund,Thailand
1958,Australian National Health and Medical Research Council,Australia
1959,MORU,Thailand
1960,American Foundation for AIDS Research,United States
1961,Health Office of Jambi Province,Indonesia
1962,Health Office of Nusa Tenggara Timur province,Indonesia
1963,NRF-NSFC,China
1964,Mahidol University Museum of Natural History,Thailand
1965,Charoen Pokphand Group,Thailand
1966,China-ASEAN Maritime Cooperation Fund,China
1967,NSFC-Shandong Joint Funded Project,China
1968,Phuket Marine Biological Center,Thailand
1969,Public Science and Technology Research Funds Projects of Ocean,China
1970,Thailand-China Joint Laboratory for Climate and Marine Ecosystem,Thailand
1971,JST-Satreps,Japan
1972,Xinjiang government,China
1973,Xinjiang-Tianye Co. Ltd.,China
1974,"Industry-University-Research Collaboration Program of Fujian Science and Technology Department, China",China
1975,"Ministry of Agriculture and Rural Affairs, China",China
1976,Modern Agricultural and Industrial Park for Anxi County in Fujian Province,China
1977,"Natural Science Foundation of Anxi Government, China",China
1978,CIIRC,Czech Republic
1979,Jyothy Institute of technology,India
1980,Queen Sirikit Scholarship,Thailand
1981,"Department of Medicine, University of Illinois",United States
1982,UIC Research Informatics Core,United States
1983,Institut Polytechnique UniLaSalle,France
1984,National Centre for Social Research,United Kingdom
1985,Grant-in Aid for Scientific Research on Innovative Areas,Japan
1986,Emerging Infectious Disease Health Science Center,United States
1987,IUCN,Switzerland
1988,"Victor and William Fung Foundation, Betty and Gordon Moore Foundation",United States
1989,Thailand Synchrotron Light Research Institute,Thailand
1990,Khon Kean University,Thailand
1991,Faculty of Sciences at the Kasetsart University,Thailand
1992,"National Science and Technology Development Agency, Thailand",Thailand
1993,Cambodia Fisheries Administration,Cambodia
1994,Thailand Center of Excellence,Thailand
1995,Siriraj Medical Research Center,Thailand
1996,"Department of Materials Engineering, Faculty of Engineering, Kasetsart University and Graduate School",Thailand
1997,Ratchadaphiseksompot Fund,Thailand
1998,Ang Thong Chief Medical Officers,Thailand
1999,Chulalongkorn Business School,Thailand
2000,Thammasat University Joint Research Program,Thailand
2001,Center for Pharmaceutical Development,United States
2002,National Sci-ence Foundation,United States
2003,Thailand Science Research and Innova-tion,Thailand
2004,Nylands nation vid Helsingfors universitet,Finland
2005,Vilho Yrjö and Kalle Väisälä Fund,Finland
2006,Department of Marine and Coastal Resources and Eastern Marine and Coastal Resources Research and Development Center,Thailand
2007,"Department of Microbiology, Faculty of Science , Chulalongkorn University",Thailand
2008,International Center for Water Hazard and Risk Management-Public Works Research Institute,Japan
2009,Science and Technology Research Partnership for Sustain- able Development,Japan
2010,"Office of Research Affairs, Chulalongkorn University",Thailand
2011,Bureau of Epidemiology,United States
2012,Office of Veterinary Public Health of Bangkok Metropolitan,Thailand
2013,"Oculis ehf, Reykjavik, Iceland",Iceland
2014,Israeli Taxonomy Initiative,Israel
2015,Thailand Research Fund/National Research Council of Thailand,Thailand
2016,NSFC-GD Union Foundation,China
2017,GERICS,Germany
2018,Environmental Restoration and Conservation Agency of Japan ‘Policy Design and Evaluation to Ensure Sustainable Consumption and Production Patterns in Asian Region,Japan
2019,Putra IPB,Indonesia
2020,Chulalongkorn Vaccine Research Center,Thailand
2021,"Monash University, Australia",Australia
2022,TRF-NSFC,China
2023,Associazione italiana contro le leucemie-linfomi e mieloma Milano e Provincia ONLUS,Italy
2024,National Cancer Institute Cancer Center Support,United States
2025,Doctor Kasem Pangsrivongse Foundation,Thailand
2026,Department of Cultural Promotion,Thailand
2027,Ministry of Culture of Thailand,Thailand
2028,ExxonMobil Chemical,United States
2029,Huntsman Corporation,United States
2030,KEMENRISTEKDIKTI Indonesia,Indonesia
2031,Office of the Higher Education Commission of Thailand,Thailand
2032,"Chulalongkorn University , Thailand Research Fund",Thailand
2033,"Chulalongkorn University, Thailand Research Fund",Thailand
2034,Chulalongkorn Univeristy,Thailand
2035,"Faculty of Science, Energy & Environment and King Mongkut’s University of Technology North Bangkok",Thailand
2036,National Science Technology and Innovation Policy Office for Integrated Research and Innovation Plan,Thailand
2037,Eisai Co. Ltd,Japan
2038,Ministry of Health and Welfare of Taiwan,Taiwan
2039,"Ministry of Science and Technology, Executive Yuan",Taiwan
2040,Office of Research and Development Medical Research Service Department of Veterans Affairs,United States
2041,Swiss Pharmaceutical,Switzerland
2042,Texas Medical Center Digestive Diseases Center,United States
2043,Phramongkutklao Hospital and Phramongkutklao College of Medicine Foundation,Thailand
2044,RUG,Netherlands
2045,Ngurah Rai University,Indonesia
2046,Universitas Amikom Purwokerto,Indonesia
2047,"Laboratory of Biotechnology, Chulabhorn Research Institute",Thailand
2048,"Department of Microbiology, Faculty of Science, Kasetsart University",Thailand
2049,NIHGRI,United States
2050,Forest Ecology Laboratory of Gifu University,Japan
2051,"Chulabhorn Research Institute, Bangkok, Thailand",Thailand
